sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 57,418,9.25,Standard,0.022129186602870814,"28.4232° N, 77.0752° E",28.4232,77.0752
sector 55,418,8.75,Premium,0.020933014354066987,"28.4281° N, 77.1100° E",28.4281,77.11
sector 55,418,7.75,Premium,0.01854066985645933,"28.4281° N, 77.1100° E",28.4281,77.11
sector 92,418,5.0,Standard,0.011961722488038277,"28.4079° N, 76.9153° E",28.4079,76.9153
sector 33,418,5.5,Premium,0.013157894736842105,"28.4420° N, 77.0207° E",28.442,77.0207
sector 46,418,6.5,Standard,0.01555023923444976,"28.4374° N, 77.0586° E",28.4374,77.0586
sector 51,418,6.75,Standard,0.016148325358851676,"28.4320° N, 77.0686° E",28.432,77.0686
sector 65,418,8.9,Premium,0.021291866028708136,"28.4030° N, 77.0690° E",28.403,77.069
sector 26,418,9.75,Premium,0.02332535885167464,"28.4757° N, 77.1032° E",28.4757,77.1032
sector 67,418,6.5,Standard,0.01555023923444976,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 23,418,7.5,Premium,0.017942583732057416,"28.5121° N, 77.0478° E",28.5121,77.0478
sector 89,418,4.0,Premium,0.009569377990430622,"28.4253° N, 76.9439° E",28.4253,76.9439
sector 49,418,10.0,Premium,0.023923444976076555,"28.4121° N, 77.0480° E",28.4121,77.048
sector 26,418,16.0,Premium,0.03827751196172249,"28.4757° N, 77.1032° E",28.4757,77.1032
sector 2,418,2.0,Basic,0.004784688995215311,"28.5095° N, 77.0320° E",28.5095,77.032
sector 40,418,7.75,Standard,0.01854066985645933,"28.4498° N, 77.0567° E",28.4498,77.0567
sector 73,418,9.0,Premium,0.0215311004784689,"28.4072° N, 77.0118° E",28.4072,77.0118
sector 88b,418,4.15,Premium,0.00992822966507177,"28.4446° N, 76.9542° E",28.4446,76.9542
sector 92,418,6.25,Premium,0.014952153110047847,"28.4079° N, 76.9153° E",28.4079,76.9153
sector 26,418,13.0,Premium,0.03110047846889952,"28.4757° N, 77.1032° E",28.4757,77.1032
sector 33,418,6.25,Standard,0.014952153110047847,"28.4420° N, 77.0207° E",28.442,77.0207
sector 25,418,12.0,Premium,0.028708133971291867,"28.4844° N, 77.0860° E",28.4844,77.086
